q_id,query
179,"Бонус сверху ,что даёт?"
180,Не видно откуда пришли деньги?
181,Где найти бик банка?
182,"Здравствуйте, как узнать БИК"
183,Почему денег нет на карте?
184,"Посмотрите, деньги пришли?"
185,Здравствуйте  Пришлите пожалуйста реквизиты кредитной карты Альфа бизнеса
186,Как узнать какой у карты расчётный счет
187,А карта в приложении появится только после того как я ее заберу ?
188,Почему не приходит уведомление с кодом по смс
189,Л л. Лл
190,Почему не отображаются деньги на счету?
191,Обращение давал на отвязку чужого счета от моего номера.  А привязали не тот
192,Какой еще кредитный счет ?
193,"А откуда тогда он взял эту сумму, она нигде не отображается"
194,А куда делись карты? В приложннии? 
195,Добрый день.не вижу этих денег на счетах
196,Телефон на детской карте
197,Мой расчётный счёт
198,Куда я перевела деньги
199,Перенести визит в банк
200,Проверочнве СМС не приходят
201,Я только что оформил кредитную карту
202,Здравствуйте! А почему я не вижу счет кредитной карты?
203,По операциям
204,Где посмотреть всё мои счета ⁉️
205,Почему не приходят уведомления в смс о переводе мне денежных средств??
206,Операции
207,Только что пришло на телефон
208,Смена пароля
209,Добрый день  Вопрос по кешбку на моих картах
210,Одобрили кредит где деньги
211,"Мне нужны уведомления на телефон, не смс а уведомление от банка"
212,"Добрый день , почему у меня в приложении не высвечивается карта ребенка?"
213,"Здравствуйте. При попытке активации карты я должен ввести код, который должен прийти на мой номер телефона, но он не приходит. Что мне делать?"
214,Добрый день. Чтобы открыть вклад требуется смс код?
215,Не отображается карта
216,"Каждый раз мне приходится вводить номер карты и номер телефона, что происходит, как это убрать"
217,Бик
218,Когда закончится срок использования карты ?
219,Переводы мне были сегодня
220,"можете проверить, не поступали ли мне переводы за сегодня или может они были отклонены?"
221,Как посмотреть платеж
222,"Где в Ростове отделение банка находится, для написания заявления вернуть деньги"
223,"Оформлена кредитная карта на моё имя чужим человеком, карты нет в личном кабинете"
224,номер карты 
225,Здравствуйте! Как снять остаток средств со счета и закрыт счет в Альфа банке?
226,Как я получаю
227,Когда будет доступна кредитка в приложении?
228,При смене номера нет доступа к приложению
229,"Подскажите, как найти все или оплаты в адрес ООО кладовкин?"
230,Мне одобрили кредитную карту а в личном кабинете она не появилась .
231,Куда уходят пополнения?
232,Не отображается список карт
233,"Здравствуйте, при входе в приложение выходит ""обновить номер телефона"" . Нажимаю, что у меня тот же номер, ошибка. Что делать?"
234,Какие Банкоматы работает сегодня город Якутск
235,Здравствуйте  Хочу погасить рассрочку на 0000 р  Не могу найти номер счёта
236,мне нужно обновить данные по номеру телефона
237,Исчезла карта привязанная к зарплатному счету
238,Было ли пополнения рассрочки *0000?
239,Почему то не приходит смс на активацию электронной подписи в альфа инвестициях
240,Прошёл ли платёж?
241,как узнать бик?
242,Когда была открыта кредитка?
243,Номер счета карты
244,"Я сегодня получила карту альфа банк, номер карты не совпадаем с картой онлайн, на карте другой , а в приложении другой номер картв"
245,Не поступают уведомления о пополнение карты
246,почему не показывает реквизиты? 
247,Банк на каминтери
248,Реквизиты можно мне атправит немагу найти
249,Как телефонные номера поменять местами?
250,Кешаут
251,Нужна ссылка для входа в онлайн банк
252,"Доброе утро. Я хочу закрыть счёт, на который я брала деньги в рассрочку, сумму недостающую я внесла, но почему-то не могу закрыть, помогите пожалуйста закрыть рассрочку"
253,Мне не надо чтобы оно так отображалось
254,Почему не стали приходить смс оповещения?
255,Последняя оплата Инфо
256,Как узнать лицевой счёт
257,По закрытому и открытому счету нужна история операций за 0000 год
258,Мне на счет поступило 00.000₽
259,"Добрый день, сейчас положила деньги на карту, не могу найти их списание"
260,"Операции, произведенные более чем год назад"
261,Операции по картам
262,Куда ушли пополнения на карту?
263,"Ещё не получил кредитную карту, как узнать лимит"
264,"В реквизитах нет расчетного счета банка, а он мне нужен для возврата штрафа"
265,Добрый день! Не приходят уведомления о списании средств
266,Меня интересует дата когда я заблокировала карты
267,Перевод 0 тыс через СБП минут 0 назад. Почему я не вижу перевод в истории платежей?
268,"Добрый день! Для оплаты не приходит смс, уведомления включены Как быть?"
269,Узнать адрес оплаты картой
270,Где он указывается?
271,"Если дата платежа завтра , по кредитным каникулам решение нужно принять сегодня или можно с утра ? Необходимо изучить информацию"
272,"Эта выписка по оддному кредиту? У меня несколько кредитов,  по ним один договор?"
273,"Нет, не понятно. 00 числа было два поступление, одно я перевела себе накоплений. И сразу перевела другому человеку. В каких накоплениях деньги?"
274,"Здравствуйте, где посмотреть номера договора на кредитную карту"
275,"Добрый день. Пришлите пожалуйста выписку из банка содержащую: наименование банка, расчетный счет, БИК банка"
276,Такси за наш счет в мае
277,"Добрый день, мне нужен номер договора альфа страхования -жизнь по погашенному кредиту"
278,Где я могу это отслеживать
279,Последний перевод
280,Счёта
281,Где посмотреть БИК и счёт карты
282,Куда исчезла моя карта?
283,Как узнать БИК банка
284,Где я могу найти счёт к которому привязана моя карта
285,Сегодня праздничный или выходной день?
286,"Почему я не вижу все поступления. Например, зарплату?"
287,Можно узнать где зачисление?
288,Мои кешбеки
289,Здравствуйте! Могу я узнать номера договоров страховки по тем  кредитам которые я закрыла досрочно?
290,"Добрый день,  почему мне не приходят уведомления о зачислениях таких как заработная плата.  Пуш уведомления включены в настройках"
291,00 апреля была операция по зачислению 0000 руб. Откуда это и куда были зачислены деньги?
292,"Мне озон в подарок отправил сотрудника Альфа-Банка, привезли , как получить на карту XXXXX и кеш бек?"
293,Вопрос по начислению кэшбека
294,Сумма поступления по дебетовой карты
295,"Здравствуйте,  история об оплате почему нет ?"
296,"Я брала деньги в рассрочку, на счету остались мои  0000 руб, как я могу её получить ?"
297,почему не отображается кредитная карта?
298,Что делать если не приходит код для активации карты?
299,подключить кэшбек
300,запросить дебетового счета
301,Проверить пополнение счета рассрочки
302,Операции нет в истории
303,"Здравствуйте, куда ушло пополнение на 0000 руб"
304,"У меня подключены именно уведомления по смс в профиле, но они не приходят"
305,Бонус
306,Адрес регистрации
307,Пополнила баланс
308,Интересует лимит по кредитной карте 
309,Как мне быть операция прошла или нет
310,БИК код банка
311,Когда у меня был баланс?
312,Кэшбэк по операции
313,Здравствуйте! На мой счет поступила сумма 00000 рублей от неизвестного отправителя
314,Сегодня рабочий день или на бирже выходной
315,Кредитный лимит
316,Расчетный счёт
317,Не могу ребенку подключить приложение не приходит СМС на телефон что делать?
318,Почему не вижу карту в онлайн банке на которой 0000 р ?
319,Почему СМС не получил?
320,Моя история по кредиту
321,Добрый день. Почему в приложении не отображался кредит XXXXX? Я получил смс сейчас и сразу оплатил!
322,Не могу просмотреть реквизиты
323,Поступили денежные средства на кредит ?
324,"Здравствуйте, перезвоните мне пожалуйста, у меня слетело приложение после смены телефона "
325,Последние пополнение
326,Как посмотреть расчётный счёт
327,"Добрый день, у ребенка в приложении не отображается его карта"
328,"Сделал перевод между счетами, не пойму сумма снялась, а куда перевелась?"
329,Подскажите прошла оплата или нет XXXXX
330,У меня сегодня было 0 перевода  На сумму 00.000 И 00.000  Где чек на 00.000?  Почему не высвечивается в истории
331,Пришло только уведомление
332,Можно ли проверить действительно ли был осуществлен перевод другим пользователям на мой счет?
333,Где найти счет ?
334,Где посмотреть мои счета?
335,"Здравствуйте, что у меня подключен к кредиту? "
336,Бонусы
337,Прошла ли оплата?
338,"здравствуйте. оформил кредитную карту. скажите пожалуйста, ей нельзя пользоваться пока я ее не заберу с офиса???"
339,Где найти бик банка? 
340,На мой номер смс не приходить
341,Не могу найти бик и корсчет
342,Почему не начислен кэшбек за оплату в аптеке стикером
343,А что с моим номером не так?
344,какой у меня БИК
345,Где смотреть суммы зачислений по дивидендам и купонам?
346,"Здравствуйте, зачислились деньги 00 числа и я не понимаю от кого они. Я не вижу номер телефона отправителя, где я могу его узнать? Потому что деньги ни от кого я не ждала"
347,Почему приходится каждый раз вводить логин пароль для входа ? И код доступа сбивается 
348,Здравствуйте! У меня сегодня списали 0000 р в счёт долга который я оплатила с другого банка два месяца назад
349,"Сама не могу, потому что номер тот же, но он его не подтверждает через код из смс"
350,Почему пропала операция из истории переводов
351,"Пуш уведомления были включены, сейчас отключила,попробую через смс"
352,Где узнать бик
353,вібрать кешбек
354,У меня есть счёт кредитной карты?
355,"Добрый день. Я сегодня перевела 0000, но не вижу на какой счет они пришли. Как узнать?"
356,Здравствуйте не могу погасить задолжность из за заблокированых средств
357,"Здравствуйте,не приходят уведомления и смс ,что делать?"
358,Последний на сумму 0000
359,"приветствую, почему не отображаются мои карты и платежный стикер?"
360,Почему кредитная карта не отображается в приложении
361,Не вижу баланса в кредитной карте после оплаты платежа
362,Почему не видна кредитная карта в приложении
363,Почему я не вижу в приложение свою старую карту?
364,"Здравствуйте, не появилась кредитная карта в приложении"
365,Дебетовый счёт
366,Бонус сверху
367,Напишите почтовый адрес банка 
368,Срок годности кредитной карты
369,Где 000 тысяча
370,Вот в истории расходные операции не отражаются
371,"Счет указан верно, но денежные средства не отображаются"
372,кэшбек
373,Сколько мне одобряют
374,"Уменьшила лимит , не приходит ни смс, ни пуш уведомление, на подтверждение"
375,Кэш бек
376,Не отображается карта у ребенка в личном кабинете
377,Почему нет этих денег на счету?
378,Уведомление о временном пароле
379,Заказала замену карты и в приложении она видна
380,А где в приложении кредитная карта
381,"Здравствуйте, где можно узнать расчётный счет"
382,"Здравствуйте, почему не приходят уведомления о поступлении средств на карту?"
383,Мне нужен счет реквизиты без отчества
384,Как посмотреть на сколько кредитная карта
385,Что то в истории операций не отображается
386,А что мне пришло за перечисление
387,"Добрый день, мне нужен номер счёта и БИК"
388,Как узнать в каком магазине сделана покупка
389,Если счет совершенно на другую сумму
390,Не вижу куда перевелись деньги
391,Как удалить уведомление о переврде?
392,Могу я получить карту в Санкт Петербурге завтра вместо поселка Сосново?
393,Деньги поступили ?
394,По каким операциям
395,Номер карты 
396,В приложении история операций заканчивается на 0000 году. Где найти сведения за 0 последних года?
397,"Что делать если номер аннулирован, и нужно сменить его здесь?"
398,Закинулись ли деньги на счет?
399,"Добрый день, мне одобрили кредитную карту, ее не видно в моих продуктах"
400,Справка о реквизитах карты
401,Здравствуйте цена за альфа-стикер (000 р) указана за год или за каждый месяц в течение года?
402,Смс не пришло
403,Не приходит смс для подтверждения перевода
404,Сумму
405,Корреспондентский счет банка
406,как узнать номер счета с которого списывается кредит
407,Денег не вижу на счетах
408,Почему не проходит оплата со стикера?
409,Мне нужна вся история платежей совершенные по QR коду
410,Можно ли пользоваться кредитной до получения пластика
411,Прошла ли последняя транзакция?
412,"Здравствуйте, хочу поменять номер для переводов по этому номеру и поменять пароль для входа а онлайн банк"
413,Не приходят деньги на счёт кредита
414,"Подскажите, пожалуйста. XXXXX. это в месяц?"
415,Наименование банка
416,"Геннадий, это все не помогает. Смс на закрытие и за прочие операции приходят, не приходит на активацию. Вчера вечером тоже самое было. Не могу активировать карту."
417,"Здравствуйте, лимит кредитной карты 00000, перевод был сделан на счёт этой карты 00000."
418,"Здравствуйте! У меня сейчас временные финансовые трудности, и я хотела бы попросить отсрочку ежемесячного платежа по кредиту на 0–0 дней. Гарантирую оплату 00 мая Подскажите, пожалуйста, возможен ли перенос даты платежа?"
419,Нужен лицевой счёт для получения зп
420,"Добрый вече, хотела оформить кредит на карту одобрили 0 тысяч рублей, но текущий счёт не тот какой на карте"
421,"Здравствуйте,мне нужны номера договоров,от какого они числа,и актуальные суммы задолженности по ним"
422,О поступлении на карту
423,За 0 мая
424,Где найти расчётный счет?
425,Как мне найти свой расчетный счет
426,Сколько приход за апрель?
427,Почему я не могу войти в личный кабинет
428,Добрый день! Где можно узнать номер договора на страховку?
429,"Здравствуйте, подскажите че делать, взял недавно КПЗН в банке, сегодня позвони с Росреестра, сказали оплатить какую то госпошлину, сказали уточните у своего менеджера( если надо, то какие реквизиты , сумма и где платить),"
430,Прошу подтвердить погашение долга по кредитке. 
431,Оплаты по квитанциям март и апрель
432,"Здравствуйте, не приходят СМС и пуш для активации карты"
433,"Подскажите пожалуйста, куда делись 0000 рублей не на одном счете не отображаются"
434,Как узнать дату когда мне выдали кредитную карту действующую
435,Мне нужен номер счета и бик
436,Деньги поступили на кредитный счет или нет ?
437,Расчетный счет карты 
438,"Здравствуйте, посмотрите пожалуйста данную сумму сняли с карты ?"
439,По операции за 0 мая
440,Почему не отображается кредитная карта?
441,"Здравствуйте, не отобразился перевод в истории"
442,Так точно проверил все операции по карте мои
443,Реквизиты проверили
444,"Здравствуйте, как узнать свой бик"
445,Нет в истории платежей 0000 года
446,Не видно что поступили!
447,"Доброго дня. Выполнил пополнение счета из другого банка. Деньги пришли, но  я не понимаю на какой счет."
448,Добрый день. Почему не приходит пуш на подтверждение перевода из альфы в другой банк?
449,"Здравствуйте! Как мне записаться в отделение банка, чтобы получить детскую карту, которая уже готова?"
450,Когда заканчивается срок  кредитной карты
451,Как узнать расчетный счет
452,Почему кредитная карта не появилась еще в списке карт
453,Почему не показывает последнюю оплату в истории ?
454,Не отображается кредитный лимит.
455,Номер договора действующего страхования по ипотеке
456,Здравствуйте  Не вижу в приложении карту свою
457,Почему я не могу закрыть счёт рассрочки?Не приходит смс
458,Добрый вечер! Не могу ничего понять в инвестициях?! Не понять где посмотреть историю покупок и выплат банком ежемесячной 0000 рублей?! Сколько раз я получила эти выплаты?
459,"После закрытия, куда перечислят деньги?"
460,"Перевела на счет кредитный деньги для списания 00 мая. Резерв по счету 00 000 тыс. На счету для списания теперь не хватает. Что это значит, и эти 00 000 будут ли списаны за кредит?"
461,Где находится 
462,Добрый вечер Скажите на какой счёт упали 000 рублей
463,Не приходят смс при оплате картой онлайн
464,"Добрый день. Подскажите, почему мне не приходят уведомления о поступлении денег на счет?"
465,БИК банка
466,"Если я сейчас переведу деньги на альфа банк, они также поступят непонятно куда или на карту?"
467,банк
468,"Совершила перевод , не вижу его в истории"
469,Где мне найти бик и к/сч?
470,У ребёнка не получается войти в лк
471,"Здравствуйте, а подскажите, пожалуйста, как включить функцию, чтобы отчислялась на накопительный счёт какая-то сумма?"
472,У меня запись есть
473,Здравствуйте! Можно отсрочить платеж по кредитной карте до пятницы?
474,Оплатил кап ремонт и нигде нет истории платежа
475,"Здравствуйте, подскажите куда ушло поступление на дебетовую карту 0000 р"
476,"Перевод 00 мая, а не 00 мая"
477,На свету нет этих денежных средств все еще 
478,Не вижу кредитную карту
479,Почему не отображается карта альфаtravel в приложении?
480,Как узнать свой расчётный счёт
481,Сумма?
482,Вы можете мне сбп включить!?!?
483,Где посмотреть расчетный счёт
484,Почему не приходят смс с кодом для оплат покупок?
485,"Добрый день.не вижу в приложении детской карты, я ее на сына оформлял"
486,Где посмотреть всё мои счета
487,Можете изменить номер телефона если у меня еще в настройках нету доверенности
488,До какого срока продлена дебетовая карта?
489,как произошла покупка  последняя
490,Почему нет смс о поступление денег или снятие ?
